address,balance
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,293427.05789898
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8...,166510.98583572
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,115451.66785687
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,112155.61771618
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,94505.83197869
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,85064.02143497
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79957.20657079
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,73601.13641685
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x...,69370.17378301
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,64026.4018544
3LQeSjqS5aXJVCDGSHPR88QvjheTwrhP8N,58814.9779333
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.0604549
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,51830.3598038
bc1q5pucatprjrqltdp58f92mhqkfuvwpa4...,45558.987017
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,44000.08616579
3FGKwP7XQA9Gb27if7zQGJSSynbzWLrV3p,40862.48006601
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,40601.87061733
3Gpex6g5FPmYWm26myFq7dW12ntd8zMcCY,40013.96037406
bc1q5shngj24323nsrmxv99st02na6srekf...,40000.32768183
36KAwNUR8VeLpUfGwdk7LEN6F4yvoRWMjn,39708.95669299
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,36116.15816946
3D8qAoMkZ8F1b42btt2Mn5TyN7sWfa434A,36000.87123119
17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx,36000.00877274
bc1qvpgyac88vqtslewxu7yu9dqwp8rd83z...,35829.984431
3EBpAZUAW5Tzyd2FhmmUZnYgftxJkKSLmJ,35236.71289266
