,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31
0,2775.0,9075.0,16675.33,21175.33,26675.33,30675.33,36675.33,44473.86,53974.86,61424.62,61424.62,61424.62,72374.36,72374.36,72374.36,72374.36,72374.36,72374.36,72374.36,72374.36,72374.36,85000.0,90000.0,90000.0,250000.0,250000.0,250000.01,200000.0,297000.0,424242.42424242,384587.42424242,104895.01,105000.0,105000.0,455501.30057744,105555.0,105555.0,148990.0,218990.0,308990.0,433805.2425047,470825.03449995,466835.01317523,157337.91540578,105611.0,105611.0,111111.0,111111.0,111111.11257533,111111.11257544,111111.11257544,111111.11257544,111111.12447432,111111.12458933,111111.12558933,111111.12758933,111111.12759844,144336.40607352,144341.51869192,144341.52165741,144341.5244317,144341.5267317,144341.5294474,144341.53264935,180497.40100794,154497.40276544,151497.40454164,148497.60410794,148497.60845691,144341.54672131,174196.32043985,134170.31811081,180059.80590667,173461.80590667,167784.80610667,167784.80610667,167784.80610667,215000.00800005,215000.21655005,186036.80620667,190083.81040667,157997.24905,157997.249354,167231.81248748,167231.81483555,157996.33167685,150231.81740745,145231.81819586,149462.81819586,152955.81836182,146955.81917182,134955.82055855,134955.82096855,134955.82116855,134955.82138395,124955.82154183,124178.0001442,124178.0002442,137361.06384224,124178.00354266,124178.00509667,124178.00625714,124178.00647714,119314.99578738,113998.51986694,169798.26551919,133711.66497956,179203.02746152,179203.02872551,167203.03220089,184146.87060029,186326.60458825,175236.03608033,187457.94006691,185504.93887099,190782.00805687,168791.33934259,136228.21881281,138660.86114759,138660.86802624,138660.86933769,130004.95402848,128004.91075743,125804.90999333,120804.90865666,151000.13196594,151000.1321602,163230.52868038,158832.34342697,179842.45044355,255502.14098481,255502.14131711,255502.14990212,255502.15147761,255502.15263417,255502.15632356,255502.15765875,255502.15787637,255502.15888551,247502.16277802,227502.11193284,187502.05850823,141451.59333438,141451.59337022,141451.59498105,141451.59531916,143528.46508189,187427.05279153,293427.05666233,299427.05790444,288126.20065526,288126.20164349,288126.20483785,288126.21066262
1,1000.0,1000.0,5350.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,13500.0,22500.0,22500.0,22500.0,34700.0,45935.9,45935.9,45935.9,45935.9,50000.0,49940.0,70000.0,80000.0,80000.0,72374.36,152083.77,150000.0,79956.0,145140.0,145140.0,134897.01,124895.01,79956.001,104895.01,104895.01,105258.88,105258.88,105258.88,105555.0,105555.0,105555.0,105555.0,105555.031337,105555.031337,150000.0,79957.031337,79957.0411,79957.0411,79957.0411,79957.0421,79957.0421,80793.19497055,92764.286339,92764.286339,92764.287339,79957.04461601,79957.04461601,79957.04461601,111114.60065824,111114.60391254,111114.60814044,111114.60854044,111114.61657044,97831.4984076,97831.5487076,144341.53604935,144341.53329133,144341.53359133,144341.53390243,144341.53393243,134173.14791081,144341.54702131,128394.646,157997.0401,157997.0401,157997.0402,157997.0402,157997.0402,167784.80610667,183162.80610667,157997.24905,157997.24905,142082.8148634,93450.99541004,157996.329354,157996.33049962,157231.81625097,118578.99773289,105672.3319113,96000.0,121166.71912273,113553.31494917,79957.11605233,80307.12733573,79957.11605233,124178.0000666,124178.0001442,119439.82316727,103439.83659727,128439.83691142,117439.8370977,113843.83861134,115458.5602304,113799.05253213,86203.00002323,99348.3262614,109203.00254054,119203.01944204,143547.98943592,128019.76976424,166192.47468165,152203.04791704,137203.06735875,152779.35616964,158779.35680769,158779.35759192,168791.3382199,166686.5917773,129234.33725098,109232.33028733,109232.33063075,130004.95360348,119538.08773756,119538.08824333,108848.28571149,102848.28898863,120804.90987229,147392.90878641,151000.13287125,151000.13115021,151001.1306516,111858.24590967,120066.46387303,116346.62274213,176500.99974733,161500.99966998,113500.99940517,101857.24750535,96857.24562738,96857.24754444,94505.83013279,94505.8312891,94505.83136157,94505.83140037,94505.83143584,105010.990382,118485.45835843,141451.59751601,139451.60291872,126510.98583572,163010.985401,178010.985401,178010.9854277,178010.9854277,178010.98544936
2,500.0,800.0,1000.0,2250.0,2250.0,2250.0,2250.0,2250.0,3850.01,8000.0,8000.0,15954.35,20704.35,32336.33,39700.0,41700.0,42700.0,44750.0,45935.9,45935.9,45935.9,72374.36,72374.36,57900.65,72374.36,72374.36,72374.36,79956.0,79956.0,79956.001,79956.001,59010.39628323,100000.0,100000.0,80000.10742356,79956.001,80890.0,105258.88,105258.88,95258.88,79956.001,79956.032337,79957.031337,105558.15740403,53000.031337,53000.0411,55000.0,59300.0,53000.0421,53880.0421,79957.0421,79957.042101,79957.042101,79957.04211601,75779.8,69471.08643162,70092.54333391,80696.68734475,99993.0002,85993.0,85993.0003,92803.85127,85993.00068063,79957.05760837,97831.5487076,97831.5622776,98141.34338836,134033.21507704,134033.21518705,116097.40100794,134173.14811081,115000.00770001,115000.00790005,115000.00790005,115000.00800005,115000.00800005,115000.00800005,157997.0402,157997.24875,85000.2176089,79957.11243149,79957.11243149,79957.11256252,79957.11266252,79957.11490814,96578.99773289,105672.33167685,79957.11508537,79957.11509537,83000.01,79957.11605233,73838.77470693,79957.11605233,77862.72701,85512.30542215,88622.26387261,79957.12699773,83021.94320394,124178.00344266,79957.15919058,112264.31201119,98843.83880564,79957.16158573,83843.8406614,91203.00212323,89348.32711605,98348.32711605,79957.17402524,117170.04136303,99797.09379699,99947.09400667,103848.27285787,117203.06725076,112203.06771947,107203.06828084,107203.07038768,107203.07041336,107203.07546599,108134.65285632,108134.65599539,108848.2851077,108848.2855427,108848.28567679,108134.6568332,98039.8024332,102848.2889964,120804.91715587,120804.91725587,118804.91101099,111858.24585401,94505.76878827,111858.24604393,111858.24798473,106857.24571944,106857.24585977,101857.24740701,94505.77253185,94505.77254951,94505.77321225,92857.24544569,92857.2454644,79957.20502416,87478.59309549,83823.65392675,94505.83145224,98510.985953,100056.64807081,104926.63936878,119451.65708427,115603.62131675,113841.61508175,109933.60131461,112764.59705748,107893.57442921
3,500.0,750.0,800.0,1000.0,1000.0,1000.0,1000.0,1000.0,2250.0,2900.01,2900.01,10000.2,10000.2,26138.45,36888.45,36888.45,39328.0,41045.0,44750.0,44750.0,44750.0,44750.0,50000.0,50000.0,57900.65,50000.0,50000.0,72374.36,77624.36,55000.01,55000.01,55000.01,79956.001,80000.10742356,79956.001,55000.01,79956.001,79956.001,79956.001,79956.001,77258.88,59258.911337,60000.031337,79957.031337,50130.031337,50130.0411,54827.92769802,53390.55588667,52319.15410977,53329.15410977,53880.0421,69471.08443161,69471.08443161,75779.8,73306.871,63306.893,69471.08643162,79957.04461604,96000.95423094,80000.09603642,79957.04713794,85993.00814374,79957.05640837,69471.09934224,79957.05760837,79957.05780837,79957.05800837,79957.05810837,79957.05831838,79957.10900726,79957.10910726,79957.10993145,79957.11013149,79957.11013149,79957.11043149,93299.99973004,105571.53179729,79957.11143149,79957.11143149,79957.11143149,69370.10452828,69370.10452828,77649.0021,69370.10477328,71577.99655566,79957.11508537,79957.11508537,77178.99773289,78172.33193963,79957.11509537,78172.33374158,69370.10526197,69370.106714,69370.10690447,79957.11605233,79957.12659773,69370.10690994,79957.15041628,79957.15041628,72893.09046187,79957.16019345,79957.16157775,77559.41561907,79957.16305325,79957.16305325,81000.00174703,79957.16534212,78348.33571751,83348.33585928,93348.27220803,99848.27237256,99947.09418232,98041.48204686,101848.28372501,101848.28432707,98042.48556026,98042.48558594,98042.49937857,107848.28504252,107848.28509159,108134.65613708,108134.6564909,108134.65664499,107432.03149032,88888.0000707,88888.00007847,107848.28903408,107848.28963408,107848.28975129,94505.76862072,90573.70783309,94505.76879827,94505.76881028,94505.76882375,94505.77226805,94505.77228129,88989.56718481,88989.56728481,88989.56749451,79957.204104,79957.20413271,73948.81832104,79957.20513048,82510.990712,92881.45831563,94505.83156858,99310.42846574,104510.985729,107004.62158378,107451.68964969,94505.11358081,94505.1140371,94505.11406119,94505.11406719
4,400.0,550.0,550.0,800.0,800.0,800.0,800.0,800.0,1000.0,2250.0,2250.0,8000.0,8000.0,22500.0,33286.33,33336.33,36888.45,40005.0,36788.45,36788.45,36788.45,35535.0,44000.0,40000.0,50000.0,46918.92,50000.0,50000.0,51068.66,52863.60524842,52863.60524842,52863.60524842,63057.12246773,79956.001,55000.01,52863.60524842,55000.01,55000.01,55000.01,50129.6698,50129.6698,53000.0,53000.031337,53000.031337,50000.031337,50000.0411,53000.0411,53000.0411,50130.0421,53000.0421,53000.0421,61695.33888656,64870.91184081,69471.08443161,69471.08643161,62994.39811714,61999.933,69471.08643164,79957.04581604,79957.04672794,76000.01072527,79957.05576337,69471.09859854,63193.0,69471.09934224,69471.09954224,69471.09964224,69471.09974224,69471.09995224,69471.10155224,69471.10165224,69471.10322824,69471.10342828,69471.10342828,69471.10352828,79957.11143149,79957.11143149,69370.10452828,69370.10452828,69370.10452828,66650.59545925,66650.59545925,69370.10468328,66650.59559425,69370.10507328,69370.10525051,69370.10525051,69370.10525051,69370.10525051,78172.33372679,69370.10525051,67372.81284158,67372.81284158,67372.81304158,69370.10690994,69370.10690994,66650.59640465,69370.10690994,69370.10690994,69370.10690994,69370.10700994,69370.10708424,75147.99682904,69370.10718311,70000.00152157,79957.16424212,76000.00185603,76000.00886603,79957.17422524,92347.06045579,92347.06180467,98041.48170465,97848.28320523,98042.48278736,98042.48396038,97848.28434059,97848.28491436,97848.28496699,107203.07647932,107203.07653849,107432.03102577,107432.03145077,107432.03149032,89404.7578033,85947.34774727,85947.34873962,85947.34877055,85947.34887055,94505.76855206,85947.34898577,89684.30585518,89684.30622209,89684.30622209,89684.30622779,89074.30606936,88989.56701196,79957.20350967,79957.20350967,79957.2040527,73436.27938242,73436.27940113,73436.27941207,70459.65506089,79957.20531576,87098.632889,92366.64789994,94505.83163455,98560.52729169,94505.83187869,94505.83198415,85064.02156623,93566.02157197,93566.0217155,93566.02192816
5,250.0,500.0,500.0,550.0,698.5,698.5,698.5,698.5,800.0,1000.0,1000.0,5500.0,7950.0,20654.35,20654.35,23173.0,33336.33,39000.0,36245.0,36235.0,36235.0,35000.0,40000.0,33035.0,40000.0,45592.95,49511.44,50000.0,50000.0,51132.271,51349.47098592,50000.0,55000.01,55000.01,52863.60524842,50000.0,52863.60524842,52863.60524842,50129.6698,50000.0,50000.0,50129.6698,50259.031337,50130.031337,50000.031337,50000.0411,50130.0411,50130.0411,50000.0411,50000.0411,50000.04110001,57005.82,63278.8,65305.812,68906.54579592,59911.51436845,59911.51436845,63999.93200002,69500.0,69471.08904354,69471.08904354,69471.09821354,53880.05281692,53880.05311692,53880.05311692,53880.05332692,53880.05342692,57716.89446027,61693.55853673,65462.59276849,66650.59415921,66650.59415921,66650.59435925,66650.59435925,68299.99973004,69370.10452828,69370.10452828,66650.59545925,66650.59545925,66650.59545925,66612.30388288,66612.30388288,66650.59559425,66612.30401788,66650.59589425,66650.59607148,66650.59610465,66650.59620465,66650.59620465,69370.10525051,66650.59620465,66650.59620465,66650.59620465,66650.59620465,67372.81304158,67372.71304158,66583.22391617,66650.59640465,66650.59640465,66650.59640465,66650.59640465,66650.59647895,74501.00001546,66452.06642179,69370.10718311,69370.10740857,69370.10740857,69370.11450857,69600.00786603,79957.17424267,79957.17462665,89446.70304887,89947.12399266,85947.1277471,85947.12727638,85947.19743933,85947.34732064,85947.34737327,85947.3475188,85947.34756787,85947.34758541,85947.34769541,102241.79238805,85947.3477295,79957.19999291,79957.20024594,79957.20035717,79957.20051726,85947.34898577,79957.20089432,85947.34899576,85947.35208719,85947.35208719,83174.10163139,79957.20316113,79957.20330147,76124.71328413,70000.00508681,70000.0050784,70000.00510575,69370.22461356,69370.22470544,69370.1735311,69370.17356272,79957.20579104,79957.20579651,93510.985729,94505.83176102,93561.02583434,85064.02144043,79957.20678552,82206.99029141,79957.20700947,86353.89005825
6,150.0,500.0,500.0,500.0,550.0,550.0,550.0,550.0,698.5,800.0,800.0,2250.0,5900.0,16367.8,16667.79,20655.36,28150.0,36888.45,35000.0,35000.0,35000.0,33591.33,33035.0,32000.0,33035.0,40000.0,35591.42,49511.44,50000.0,50000.0,50000.0,50000.0,52863.60524842,52863.60524842,50000.0,50000.0,50000.0,50229.6698,50000.0,50000.0,50000.0,50000.0,50130.031337,50000.031337,47458.031337,47458.0411,50000.0411,50000.0411,50000.0411,50000.0411,50000.0411,53880.0421,53880.0421,53880.0421,61545.97521462,53880.0431,53880.0431,62000.0,69471.08843164,53880.04468192,53880.04479192,53880.05256192,53000.05276694,53000.05354694,53000.05354694,53126.58345448,53126.58355448,57654.75223972,61544.25018469,65368.05262423,66612.30258284,66612.30258284,66612.30278288,66612.30278288,66650.59445925,66650.59545925,66650.59545925,66612.30388288,66612.30388288,66612.30388288,66583.22330394,66583.22330394,66612.30401788,66583.22343894,66583.22373894,66583.22391617,66583.22391617,66583.22391617,66583.22391617,66650.59620465,66583.22391617,66583.22391617,66583.22391617,66583.22391617,66650.59640465,66650.59640465,66452.06624862,66583.22391617,66583.22391617,66583.22391617,66583.22391617,66583.22399047,69370.10708424,66378.80979283,66452.06642179,66452.06654725,66452.06654725,66452.07465725,69370.11450857,73600.00787463,73600.00789928,79957.17544989,79957.17568755,79957.19433926,79957.19442411,79957.19612253,79957.19630669,79957.19639288,79957.19674458,79957.19713756,79957.19739304,83664.30121595,85947.3477295,80879.44183505,76893.03139186,76893.06461115,76893.07172632,76893.07182632,79957.20055744,76893.10178244,79957.20104663,79957.20142126,80893.9607385,79957.20155088,76124.71316367,76124.71317691,70000.00496336,69370.22044596,69370.22168435,69370.22283175,68101.56630729,68101.56632376,68101.56636256,68101.5663735,69601.43652758,79602.43653852,80728.22570125,79957.20654875,79957.20657079,79957.20657625,73601.13641685,79957.20679107,73601.13647202,79957.21595047
7,150.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,550.0,698.5,698.5,1050.01,2250.0,10000.2,15000.0,19499.0,25000.0,33336.33,33591.33,33591.33,33591.33,33200.0,32000.0,31424.07,31424.07,40000.0,33035.0,35591.42,49511.44,49157.97,49157.97,50000.0,50000.01,50000.01,50000.0,48957.97,50000.0,50000.0,50000.0,45000.0,47457.46,50000.0,50000.031337,50000.031337,44512.031337,45640.0,50000.0411,50000.0411,47458.0411,47458.0411,47458.0411,53000.04210001,53000.04210001,53000.04210001,53880.0431,53000.04310002,53300.0,59670.12686312,53880.04400002,53000.04461194,53000.04461194,53000.05238194,47566.14013045,50086.21382858,52472.09094746,53081.476044,53081.476144,57532.26024637,61534.65308581,65281.25306696,66583.2220039,66583.2220039,66583.22220394,66583.22220394,66612.30288288,66612.30388288,66612.30388288,66583.22330394,66583.22330394,66583.22330394,66452.06563639,66452.06563639,66583.22343894,66452.06577139,66452.06607139,66452.06624862,66452.06624862,66452.06624862,66472.64351803,66583.22391617,66452.06624862,66452.06624862,66452.06624862,66452.06624862,66583.22391617,66583.22391617,66378.80961189,66452.06624862,66452.06624862,66452.06624862,66452.06624862,66452.06632292,66452.06632292,66235.82443862,66378.80979283,66378.80991829,66378.80991829,66378.81003529,66452.07465725,69370.11453606,69370.11456959,73600.00812833,73600.00816799,73600.00867304,73600.00869906,73600.0087059,73600.00874046,69370.12337498,69370.12361171,69370.12365166,72227.23989391,79957.19741504,79957.19848228,79957.19964386,69370.12991462,69370.13007842,69370.13011174,69370.13021817,76893.10178244,69370.13094817,76893.10189206,76893.2179957,79957.20153741,69370.13110174,70000.00678744,70000.00679521,69370.2202872,65236.71306814,65236.71372087,68101.56628858,65236.71377803,65236.71379451,65236.71383331,67599.43651664,69370.17375566,73528.24326579,79957.20603781,73601.13640591,73601.13641685,73601.13641685,73000.43360138,73601.13645024,72332.20277447,73601.13647202
8,150.0,350.04,350.04,400.0,500.0,500.0,500.0,500.0,500.0,550.0,550.0,1000.0,1050.01,8000.0,10000.2,18650.0,20962.28,31500.0,31000.0,31000.0,31000.0,31338.45,31424.07,31338.45,31338.45,33035.0,32714.84,35547.83,49157.97,42328.65,49047.74645612,50000.0,50000.0,50000.0,48957.97,42748.94,49729.6698,50000.0,44511.441,44511.441,45000.0,47457.46,50000.031337,47458.031337,40258.8795,44512.0411,47458.0411,47458.0411,44512.0411,44864.20534842,45587.09776949,50000.0411001,50000.0411001,50000.0411001,53000.04310001,51500.0,53000.04310002,54382.84862936,53000.04400004,50000.04291203,50000.04291203,50000.05068203,47547.09910638,50020.33351525,52466.41418303,53078.26319285,53078.26329285,57514.41261212,61517.02586555,65193.55873673,66452.06433635,66452.06433635,66452.06453639,66452.06453639,66583.22230394,66583.22330394,66583.22330394,66452.06563639,66452.06563639,66452.06563639,66378.80879966,66378.80879966,66452.06577139,66378.80893466,66378.80923466,66378.80961189,66378.80961189,66378.80961189,66452.06624862,66452.06624862,66378.80961189,66378.80961189,66378.80961189,66378.80961189,66452.06624862,66452.06624862,66235.82427687,66378.80961189,66378.80961189,66378.80961189,66378.80961189,66378.80968619,66378.80968619,66233.75706908,66235.82443862,66235.82456408,66235.82488758,66235.82500458,66378.81003529,66452.07466586,66452.07469939,69370.11915134,69370.119191,69370.11970271,69370.12072873,69370.1207708,69370.12330347,66452.0792568,66452.07940233,63600.04708756,69370.12365166,69370.12365166,69370.12369121,69370.12370121,68569.59930808,68569.59932496,65077.08183969,65077.08194519,69370.13094817,66633.90578099,75799.60810652,70787.004041,76893.2179957,61301.89790738,69370.13113984,69370.2202872,61301.90018924,60000.99658253,62135.41401666,65236.71375932,63500.99542777,63500.99542777,60196.4365057,66431.27153667,68101.56638444,69370.17376113,69370.17377207,69370.17377754,69370.17378301,69370.17378301,69370.17378848,73000.43374628,69370.17533049,69370.17554055
9,100.0,250.0,250.0,350.04,400.0,400.0,400.0,400.0,500.0,500.0,500.0,895.65,1000.0,6062.74,8200.0,16667.79,20673.0,28150.0,29000.0,29000.0,29000.0,31000.0,31338.45,31000.0,31000.0,31949.48,31424.07,33035.0,33374.8,40954.56541907,39655.0,50000.0,50000.0,50000.0,40000.0,40000.0,45748.94,44000.0,43000.0,40000.0,44511.441,45000.0,47458.031337,44512.031337,40000.031337,40000.0411,44512.0411,44512.0411,40000.31337,40000.31337,44864.20534842,49988.7,46595.27500386,49621.20825065,50000.0421001,50000.04210011,50000.04210011,53880.04310002,52500.0,44864.20635335,46556.7334,44864.21412335,47471.45356665,50009.04794747,52229.35737068,53018.73081195,53018.73091195,57476.00835271,61442.99572266,65170.69432414,66378.80759963,66378.80759963,66378.80769966,66378.80769966,66452.06463639,66452.06563639,66452.06563639,66378.80879966,66378.80879966,66378.80879966,66235.41040985,66235.82366464,66378.80893466,66235.82379964,66235.82409964,66235.82427687,66235.82427687,66235.82427687,66378.80961189,66378.80961189,66235.82427687,66235.82427687,66235.82427687,66235.82427687,66378.80961189,66378.80961189,66233.73859546,66235.82427687,66235.82427687,66235.82427687,66235.82431198,66235.82433198,66235.82433198,59000.00152157,66233.75710086,66233.75722632,66233.75754982,66233.75766682,66235.82500458,66378.81005494,66378.81008847,66605.498319,66452.075026,66452.07807671,66452.07811893,66452.07814667,66452.07819529,66378.81086722,66378.8109583,55525.56324507,63600.04718756,53880.05896592,53880.05900547,53880.05900547,63693.96492696,53880.05901874,53880.05907322,53880.05917322,65077.08194519,65077.08194519,69370.13094817,69370.13095594,69370.1310781,57706.31655599,61301.90008377,61301.90018924,60000.99658253,59801.89799924,60000.99679223,60000.99680141,58825.65496065,59131.65502209,57000.992937,65236.71384425,65236.71385519,68101.56639538,68101.56640632,60000.98361085,58814.9779333,65000.72736557,68005.72113357,69370.17533049,58814.9779333,53880.06062367
