rank_,d2014_01_31,d2014_02_28,d2014_03_31,d2014_04_30,d2014_05_31,d2014_06_30,d2014_07_31,d2014_08_31,d2014_09_30,d2014_10_31,d2014_11_30,d2014_12_31,d2015_01_31,d2015_02_28,d2015_03_31,d2015_04_30,d2015_05_31,d2015_06_30,d2015_07_31,d2015_08_31,d2015_09_30,d2015_10_31,d2015_11_30,d2015_12_31,d2016_01_31,d2016_02_29,d2016_03_31,d2016_04_30,d2016_05_31,d2016_06_30,d2016_07_31,d2016_08_31,d2016_09_30,d2016_10_31,d2016_11_30,d2016_12_31,d2017_01_31,d2017_02_28,d2017_03_31,d2017_04_30,d2017_05_31,d2017_06_30,d2017_07_31,d2017_08_31,d2017_09_30,d2017_10_31,d2017_11_30,d2017_12_31,d2018_01_31,d2018_02_28,d2018_03_31,d2018_04_30,d2018_05_31,d2018_06_30,d2018_07_31,d2018_08_31,d2018_09_30,d2018_10_31,d2018_11_30,d2018_12_31
1,144341.5244317,144341.5267317,144341.5294474,144341.53264935,180497.40100794,154497.40276544,151497.40454164,148497.60410794,148497.60845691,144341.54672131,174196.32043985,134170.31811081,180059.80590667,173461.80590667,167784.80610667,167784.80610667,167784.80610667,215000.00800005,215000.21655005,186036.80620667,190083.81040667,157997.24905,157997.249354,167231.81248748,167231.81483555,157996.33167685,150231.81740745,145231.81819586,149462.81819586,152955.81836182,146955.81917182,134955.82055855,134955.82096855,134955.82116855,134955.82138395,124955.82154183,124178.0001442,124178.0002442,137361.06384224,124178.00354266,124178.00509667,124178.00625714,124178.00647714,119314.99578738,113998.51986694,169798.26551919,133711.66497956,179203.02746152,179203.02872551,167203.03220089,184146.87060029,186326.60458825,175236.03608033,187457.94006691,185504.93887099,190782.00805687,168791.33934259,136228.21881281,138660.86114759,138660.86802624
2,111114.60854044,111114.61657044,97831.4984076,97831.5487076,144341.53604935,144341.53329133,144341.53359133,144341.53390243,144341.53393243,134173.14791081,144341.54702131,128394.646,157997.0401,157997.0401,157997.0402,157997.0402,157997.0402,167784.80610667,183162.80610667,157997.24905,157997.24905,142082.8148634,93450.99541004,157996.329354,157996.33049962,157231.81625097,118578.99773289,105672.3319113,96000.0,121166.71912273,113553.31494917,79957.11605233,80307.12733573,79957.11605233,124178.0000666,124178.0001442,119439.82316727,103439.83659727,128439.83691142,117439.8370977,113843.83861134,115458.5602304,113799.05253213,86203.00002323,99348.3262614,109203.00254054,119203.01944204,143547.98943592,128019.76976424,166192.47468165,152203.04791704,137203.06735875,152779.35616964,158779.35680769,158779.35759192,168791.3382199,166686.5917773,129234.33725098,109232.33028733,109232.33063075
3,85993.0003,92803.85127,85993.00068063,79957.05760837,97831.5487076,97831.5622776,98141.34338836,134033.21507704,134033.21518705,116097.40100794,134173.14811081,115000.00770001,115000.00790005,115000.00790005,115000.00800005,115000.00800005,115000.00800005,157997.0402,157997.24875,85000.2176089,79957.11243149,79957.11243149,79957.11256252,79957.11266252,79957.11490814,96578.99773289,105672.33167685,79957.11508537,79957.11509537,83000.01,79957.11605233,73838.77470693,79957.11605233,77862.72701,85512.30542215,88622.26387261,79957.12699773,83021.94320394,124178.00344266,79957.15919058,112264.31201119,98843.83880564,79957.16158573,83843.8406614,91203.00212323,89348.32711605,98348.32711605,79957.17402524,117170.04136303,99797.09379699,99947.09400667,103848.27285787,117203.06725076,112203.06771947,107203.06828084,107203.07038768,107203.07041336,107203.07546599,108134.65285632,108134.65599539
4,79957.04713794,85993.00814374,79957.05640837,69471.09934224,79957.05760837,79957.05780837,79957.05800837,79957.05810837,79957.05831838,79957.10900726,79957.10910726,79957.10993145,79957.11013149,79957.11013149,79957.11043149,93299.99973004,105571.53179729,79957.11143149,79957.11143149,79957.11143149,69370.10452828,69370.10452828,77649.0021,69370.10477328,71577.99655566,79957.11508537,79957.11508537,77178.99773289,78172.33193963,79957.11509537,78172.33374158,69370.10526197,69370.106714,69370.10690447,79957.11605233,79957.12659773,69370.10690994,79957.15041628,79957.15041628,72893.09046187,79957.16019345,79957.16157775,77559.41561907,79957.16305325,79957.16305325,81000.00174703,79957.16534212,78348.33571751,83348.33585928,93348.27220803,99848.27237256,99947.09418232,98041.48204686,101848.28372501,101848.28432707,98042.48556026,98042.48558594,98042.49937857,107848.28504252,107848.28509159
5,76000.01072527,79957.05576337,69471.09859854,63193.0,69471.09934224,69471.09954224,69471.09964224,69471.09974224,69471.09995224,69471.10155224,69471.10165224,69471.10322824,69471.10342828,69471.10342828,69471.10352828,79957.11143149,79957.11143149,69370.10452828,69370.10452828,69370.10452828,66650.59545925,66650.59545925,69370.10468328,66650.59559425,69370.10507328,69370.10525051,69370.10525051,69370.10525051,69370.10525051,78172.33372679,69370.10525051,67372.81284158,67372.81284158,67372.81304158,69370.10690994,69370.10690994,66650.59640465,69370.10690994,69370.10690994,69370.10690994,69370.10700994,69370.10708424,75147.99682904,69370.10718311,70000.00152157,79957.16424212,76000.00185603,76000.00886603,79957.17422524,92347.06045579,92347.06180467,98041.48170465,97848.28320523,98042.48278736,98042.48396038,97848.28434059,97848.28491436,97848.28496699,107203.07647932,107203.07653849
6,69471.08904354,69471.09821354,53880.05281692,53880.05311692,53880.05311692,53880.05332692,53880.05342692,57716.89446027,61693.55853673,65462.59276849,66650.59415921,66650.59415921,66650.59435925,66650.59435925,68299.99973004,69370.10452828,69370.10452828,66650.59545925,66650.59545925,66650.59545925,66612.30388288,66612.30388288,66650.59559425,66612.30401788,66650.59589425,66650.59607148,66650.59610465,66650.59620465,66650.59620465,69370.10525051,66650.59620465,66650.59620465,66650.59620465,66650.59620465,67372.81304158,67372.71304158,66583.22391617,66650.59640465,66650.59640465,66650.59640465,66650.59640465,66650.59647895,74501.00001546,66452.06642179,69370.10718311,69370.10740857,69370.10740857,69370.11450857,69600.00786603,79957.17424267,79957.17462665,89446.70304887,89947.12399266,85947.1277471,85947.12727638,85947.19743933,85947.34732064,85947.34737327,85947.3475188,85947.34756787
7,53880.04479192,53880.05256192,53000.05276694,53000.05354694,53000.05354694,53126.58345448,53126.58355448,57654.75223972,61544.25018469,65368.05262423,66612.30258284,66612.30258284,66612.30278288,66612.30278288,66650.59445925,66650.59545925,66650.59545925,66612.30388288,66612.30388288,66612.30388288,66583.22330394,66583.22330394,66612.30401788,66583.22343894,66583.22373894,66583.22391617,66583.22391617,66583.22391617,66583.22391617,66650.59620465,66583.22391617,66583.22391617,66583.22391617,66583.22391617,66650.59640465,66650.59640465,66452.06624862,66583.22391617,66583.22391617,66583.22391617,66583.22391617,66583.22399047,69370.10708424,66378.80979283,66452.06642179,66452.06654725,66452.06654725,66452.07465725,69370.11450857,73600.00787463,73600.00789928,79957.17544989,79957.17568755,79957.19433926,79957.19442411,79957.19612253,79957.19630669,79957.19639288,79957.19674458,79957.19713756
8,53000.04461194,53000.05238194,47566.14013045,50086.21382858,52472.09094746,53081.476044,53081.476144,57532.26024637,61534.65308581,65281.25306696,66583.2220039,66583.2220039,66583.22220394,66583.22220394,66612.30288288,66612.30388288,66612.30388288,66583.22330394,66583.22330394,66583.22330394,66452.06563639,66452.06563639,66583.22343894,66452.06577139,66452.06607139,66452.06624862,66452.06624862,66452.06624862,66472.64351803,66583.22391617,66452.06624862,66452.06624862,66452.06624862,66452.06624862,66583.22391617,66583.22391617,66378.80961189,66452.06624862,66452.06624862,66452.06624862,66452.06624862,66452.06632292,66452.06632292,66235.82443862,66378.80979283,66378.80991829,66378.80991829,66378.81003529,66452.07465725,69370.11453606,69370.11456959,73600.00812833,73600.00816799,73600.00867304,73600.00869906,73600.0087059,73600.00874046,69370.12337498,69370.12361171,69370.12365166
9,50000.04291203,50000.05068203,47547.09910638,50020.33351525,52466.41418303,53078.26319285,53078.26329285,57514.41261212,61517.02586555,65193.55873673,66452.06433635,66452.06433635,66452.06453639,66452.06453639,66583.22230394,66583.22330394,66583.22330394,66452.06563639,66452.06563639,66452.06563639,66378.80879966,66378.80879966,66452.06577139,66378.80893466,66378.80923466,66378.80961189,66378.80961189,66378.80961189,66452.06624862,66452.06624862,66378.80961189,66378.80961189,66378.80961189,66378.80961189,66452.06624862,66452.06624862,66235.82427687,66378.80961189,66378.80961189,66378.80961189,66378.80961189,66378.80968619,66378.80968619,66233.75706908,66235.82443862,66235.82456408,66235.82488758,66235.82500458,66378.81003529,66452.07466586,66452.07469939,69370.11915134,69370.119191,69370.11970271,69370.12072873,69370.1207708,69370.12330347,66452.0792568,66452.07940233,63600.04708756
10,46556.7334,44864.21412335,47471.45356665,50009.04794747,52229.35737068,53018.73081195,53018.73091195,57476.00835271,61442.99572266,65170.69432414,66378.80759963,66378.80759963,66378.80769966,66378.80769966,66452.06463639,66452.06563639,66452.06563639,66378.80879966,66378.80879966,66378.80879966,66235.41040985,66235.82366464,66378.80893466,66235.82379964,66235.82409964,66235.82427687,66235.82427687,66235.82427687,66378.80961189,66378.80961189,66235.82427687,66235.82427687,66235.82427687,66235.82427687,66378.80961189,66378.80961189,66233.73859546,66235.82427687,66235.82427687,66235.82427687,66235.82431198,66235.82433198,66235.82433198,59000.00152157,66233.75710086,66233.75722632,66233.75754982,66233.75766682,66235.82500458,66378.81005494,66378.81008847,66605.498319,66452.075026,66452.07807671,66452.07811893,66452.07814667,66452.07819529,66378.81086722,66378.8109583,55525.56324507
