rank_,d2019_01_31,d2019_02_28,d2019_03_31,d2019_04_30,d2019_05_31,d2019_06_30,d2019_07_31,d2019_08_31,d2019_09_30,d2019_10_31,d2019_11_30,d2019_12_31,d2020_01_31,d2020_02_29,d2020_03_31,d2020_04_30,d2020_05_31,d2020_06_30,d2020_07_31,d2020_08_31,d2020_09_30,d2020_10_31,d2020_11_30,d2020_12_31,d2021_01_31,d2021_02_28,d2021_03_31,d2021_04_30,d2021_05_31,d2021_06_30,d2021_07_31,d2021_08_31,d2021_09_30,d2021_10_31
1,138660.86933769,130004.95402848,128004.91075743,125804.90999333,120804.90865666,151000.13196594,151000.1321602,163230.52868038,158832.34342697,179842.45044355,255502.14098481,255502.14131711,255502.14990212,255502.15147761,255502.15263417,255502.15632356,255502.15765875,255502.15787637,255502.15888551,247502.16277802,227502.11193284,187502.05850823,141451.59333438,141451.59337022,141451.59498105,141451.59531916,143528.46508189,187427.05279153,293427.05666233,299427.05790444,288126.20065526,288126.20164349,288126.20483785,288126.21066262
2,130004.95360348,119538.08773756,119538.08824333,108848.28571149,102848.28898863,120804.90987229,147392.90878641,151000.13287125,151000.13115021,151001.1306516,111858.24590967,120066.46387303,116346.62274213,176500.99974733,161500.99966998,113500.99940517,101857.24750535,96857.24562738,96857.24754444,94505.83013279,94505.8312891,94505.83136157,94505.83140037,94505.83143584,105010.990382,118485.45835843,141451.59751601,139451.60291872,126510.98583572,163010.985401,178010.985401,178010.9854277,178010.9854277,178010.98544936
3,108848.2851077,108848.2855427,108848.28567679,108134.6568332,98039.8024332,102848.2889964,120804.91715587,120804.91725587,118804.91101099,111858.24585401,94505.76878827,111858.24604393,111858.24798473,106857.24571944,106857.24585977,101857.24740701,94505.77253185,94505.77254951,94505.77321225,92857.24544569,92857.2454644,79957.20502416,87478.59309549,83823.65392675,94505.83145224,98510.985953,100056.64807081,104926.63936878,119451.65708427,115603.62131675,113841.61508175,109933.60131461,112764.59705748,107893.57442921
4,108134.65613708,108134.6564909,108134.65664499,107432.03149032,88888.0000707,88888.00007847,107848.28903408,107848.28963408,107848.28975129,94505.76862072,90573.70783309,94505.76879827,94505.76881028,94505.76882375,94505.77226805,94505.77228129,88989.56718481,88989.56728481,88989.56749451,79957.204104,79957.20413271,73948.81832104,79957.20513048,82510.990712,92881.45831563,94505.83156858,99310.42846574,104510.985729,107004.62158378,107451.68964969,94505.11358081,94505.1140371,94505.11406119,94505.11406719
5,107432.03102577,107432.03145077,107432.03149032,89404.7578033,85947.34774727,85947.34873962,85947.34877055,85947.34887055,94505.76855206,85947.34898577,89684.30585518,89684.30622209,89684.30622209,89684.30622779,89074.30606936,88989.56701196,79957.20350967,79957.20350967,79957.2040527,73436.27938242,73436.27940113,73436.27941207,70459.65506089,79957.20531576,87098.632889,92366.64789994,94505.83163455,98560.52729169,94505.83187869,94505.83198415,85064.02156623,93566.02157197,93566.0217155,93566.02192816
6,85947.34758541,85947.34769541,102241.79238805,85947.3477295,79957.19999291,79957.20024594,79957.20035717,79957.20051726,85947.34898577,79957.20089432,85947.34899576,85947.35208719,85947.35208719,83174.10163139,79957.20316113,79957.20330147,76124.71328413,70000.00508681,70000.0050784,70000.00510575,69370.22461356,69370.22470544,69370.1735311,69370.17356272,79957.20579104,79957.20579651,93510.985729,94505.83176102,93561.02583434,85064.02144043,79957.20678552,82206.99029141,79957.20700947,86353.89005825
7,79957.19739304,83664.30121595,85947.3477295,80879.44183505,76893.03139186,76893.06461115,76893.07172632,76893.07182632,79957.20055744,76893.10178244,79957.20104663,79957.20142126,80893.9607385,79957.20155088,76124.71316367,76124.71317691,70000.00496336,69370.22044596,69370.22168435,69370.22283175,68101.56630729,68101.56632376,68101.56636256,68101.5663735,69601.43652758,79602.43653852,80728.22570125,79957.20654875,79957.20657079,79957.20657625,73601.13641685,79957.20679107,73601.13647202,79957.21595047
8,72227.23989391,79957.19741504,79957.19848228,79957.19964386,69370.12991462,69370.13007842,69370.13011174,69370.13021817,76893.10178244,69370.13094817,76893.10189206,76893.2179957,79957.20153741,69370.13110174,70000.00678744,70000.00679521,69370.2202872,65236.71306814,65236.71372087,68101.56628858,65236.71377803,65236.71379451,65236.71383331,67599.43651664,69370.17375566,73528.24326579,79957.20603781,73601.13640591,73601.13641685,73601.13641685,73000.43360138,73601.13645024,72332.20277447,73601.13647202
9,69370.12365166,69370.12365166,69370.12369121,69370.12370121,68569.59930808,68569.59932496,65077.08183969,65077.08194519,69370.13094817,66633.90578099,75799.60810652,70787.004041,76893.2179957,61301.89790738,69370.13113984,69370.2202872,61301.90018924,60000.99658253,62135.41401666,65236.71375932,63500.99542777,63500.99542777,60196.4365057,66431.27153667,68101.56638444,69370.17376113,69370.17377207,69370.17377754,69370.17378301,69370.17378301,69370.17378848,73000.43374628,69370.17533049,69370.17554055
10,63600.04718756,53880.05896592,53880.05900547,53880.05900547,63693.96492696,53880.05901874,53880.05907322,53880.05917322,65077.08194519,65077.08194519,69370.13094817,69370.13095594,69370.1310781,57706.31655599,61301.90008377,61301.90018924,60000.99658253,59801.89799924,60000.99679223,60000.99680141,58825.65496065,59131.65502209,57000.992937,65236.71384425,65236.71385519,68101.56639538,68101.56640632,60000.98361085,58814.9779333,65000.72736557,68005.72113357,69370.17533049,58814.9779333,53880.06062367
11,53880.05896592,53000.01393623,53000.01396607,53000.01396607,56546.36989971,53702.15622746,53548.36897117,53548.36907117,58917.61864555,59910.09527555,66633.90591295,65633.90459072,64633.90329072,53880.05943022,56176.31615169,53880.05944822,56981.65746276,55481.65646276,59801.89853657,57783.75847337,58273.82338848,54301.89118845,55327.74639214,60956.27951875,53880.06016291,65236.71386613,65236.7138982,58814.97792236,53880.0603549,58814.9779333,58814.9779333,58814.9779333,53880.06059937,51830.35995333
12,53000.01381503,51830.35695233,51830.35697667,51830.35697667,53880.05900547,53548.3689657,53000.01397931,53000.01741264,54549.36908117,54549.36908117,65077.08195065,57706.31654252,57706.31654252,51830.35715541,53880.05944822,52286.31550792,53880.05948806,53880.05948806,56462.78508936,57301.89658845,56801.89512845,53880.05999138,53880.06000684,53880.06001778,51830.35876426,53880.06017385,53880.06022633,58064.99734794,51830.35905398,53880.0604549,53880.0604549,56888.98803825,51830.35994733,44000.08617726
13,51830.35561723,49546.36985715,49546.36988149,49546.36988149,53000.01396607,53000.01397384,51915.15999154,51830.35710656,53880.05919222,53880.05925422,54549.36908663,54565.14071805,54549.3690944,51549.34367387,51830.35730517,51830.35730517,52286.31550792,52286.31550792,53880.05993109,56768.65494971,53880.05996938,52286.3158355,51830.35815067,51830.35854098,49960.14366885,51830.3588852,51830.35891727,53880.06023727,50436.48523442,51830.3598038,51830.3598038,53880.0604549,48309.987982,43357.65284794
14,49546.36984705,48000.0880842,48000.088114,48000.088114,51830.35697667,51830.35700109,51830.35700656,48119.42372555,51830.35711656,51830.35711656,53880.05925968,54549.3690944,53880.05926745,47445.92611648,50641.92092439,49555.34239367,51830.35730517,51830.35743571,52481.65490579,53880.05995844,53233.33941474,51830.35807709,51001.88562733,46801.88134733,44000.0783575,44000.08613297,44409.99715539,51830.35894304,47858.987082,45558.987017,44000.08617126,51830.3598038,44000.08617126,40013.96038553
15,48000.0880741,45000.03974539,45000.03976973,45000.03995844,47000.07801785,47000.07802562,47000.07802562,47000.07812562,47000.07814562,47000.07814562,51830.35712433,53880.05926745,51830.35714764,44000.07776066,47551.34238043,48438.12257474,49555.34239367,49555.34239367,52286.31561762,52286.31581362,52286.31582456,48242.43648912,45671.28441881,44000.0783411,43185.98072443,42201.87482733,44000.08614391,44000.08615485,44000.08616579,44000.08616579,40013.96037953,44000.08617126,40013.96037953,40000.32768183
16,45000.03974539,42723.79318923,42992.59927076,44888.02417739,45498.79321903,45498.7933894,41899.37737319,40000.32719848,40000.32719848,43653.002,44000.07774719,51830.35714764,50452.16712116,40000.32721224,44000.07776666,46332.65746276,47938.79008148,48947.7870934,51830.35802231,51830.35804966,51830.3580606,45671.28440779,44000.07833016,43185.98071349,42801.87645733,40913.96005431,41701.87353733,41636.99463319,43829.984645,40862.48007148,40001.86898733,40013.96037953,40001.86898733,39001.86721087
17,41899.37729864,42688.02415305,42953.48879861,44803.48879861,45487.88365211,45487.88372248,40000.32709848,37899.37747319,36000.00213111,40000.32719848,43652.9018608,44000.07775496,44000.07775496,39379.51335516,43346.65844952,44000.07777443,45135.33261486,44000.07777443,49555.3425367,49555.34257182,44000.0782487,44000.0782652,43185.98070255,40862.4798111,40862.47982204,40862.48003298,40913.96006525,41101.87190733,40862.48006601,40601.87061733,40000.32768183,40001.86898733,40000.32768183,37926.97744959
18,41723.79318923,42153.48877427,42723.79321903,44742.04043955,44888.02429236,44888.02430013,37922.91025993,36470.19963477,31381.4984093,36000.00213111,40000.32720447,40000.32721224,40111.51211616,37483.0,40000.32721224,40000.32721224,44000.07777443,40533.99981517,44000.07795079,44000.07823776,40000.32739356,43185.98060547,40862.47980563,40000.32742646,40000.3274374,40000.32744287,40862.4800496,40862.48006054,40601.87061733,40013.96037406,39708.95669299,40000.32768183,38909.559,37024.98793451
19,41688.02414305,41899.37731784,42688.02417739,44723.79321903,44803.48914925,44803.48915702,36000.00202,36000.00212,31010.0115057,31979.80098686,36000.00213111,36000.00213888,40000.32721224,36000.00214776,37483.000006,37483.000006,40000.32721224,40000.32721224,40000.32735527,40000.32738262,39999.9187481,40000.3274045,40000.32742099,36000.00234895,36000.00872898,36000.87119837,40000.32745381,40013.95971821,40013.96037406,40000.32768183,36000.41000054,36000.41000054,38838.57929068,36909.5810155
20,41212.88362681,41592.59924642,42612.88365211,44712.88365211,44742.04044501,44742.04045278,31010.0114057,31010.0115057,31000.06893125,31069.46978196,33442.6629987,35274.66018652,36000.00214776,33956.65818652,36594.50252437,36000.00216576,37483.01319621,37483.01319621,37483.01352531,37483.01356376,37483.01362117,39999.91731896,36000.00234348,32712.00072701,32353.99995641,36000.00873992,36000.87120931,40000.32745928,40000.32758183,39708.95669299,35236.71289266,35236.71289266,36000.41000054,36000.41000054
21,41153.48877427,41212.88362681,41899.37734218,41899.37735218,41899.37735218,42662.64544599,31000.06882014,31000.06892014,29543.47585754,31010.0115057,31684.71146274,32264.14122388,32274.65818652,32900.00012669,36000.00216576,35033.78820744,36000.00216576,36000.00216576,36000.00227546,36000.00231058,36000.00232152,37483.01368261,33421.0818516,32674.72155015,32213.08949881,32930.00491882,36000.00875086,37129.09437344,38700.74838,36000.87123119,32873.65937387,32941.31290404,35236.71289266,34088.9329
22,40592.59924642,40000.32770995,40000.32782975,40000.32782975,40000.32709298,41899.37736772,30962.31021967,30670.26140792,28629.6328757,31000.06893125,31010.0115057,31010.01151347,31317.31748859,32267.38829839,35201.73202867,35021.79079237,34074.16433765,34784.95740503,32861.08973458,33661.80899619,34566.75134533,36000.00233246,32354.00087137,32353.99994547,31000.06942459,32353.99996735,35778.989717,36000.87122025,36000.87122572,36000.00900674,32354.00000564,32354.00000564,33329.05237753,32354.00000564
