,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31
0,11901469.86985,11901469.86985,7750971.43138,6250971.431380001,5800971.43138,5329999.67687727,5779999.67687727,7854999.67687727,9979999.67687727,11154999.67687727,11054999.68009834,11727778.7847168,7504999.680098339,10424999.70708953,7374999.70708953,7424999.70708953,7174999.707089529,7374999.70708953,7274999.70708953,6524999.707089529,6224999.70708953,5924999.707089529,5174999.71708953,4574999.717089529,4424999.71708953,3974999.8170895297,3074999.8445895296,2924999.84658953,2774999.8466895297,2624999.860777788,2325000.2357777874,1925000.2404475657,1538422.729863013,1538422.7311480427,1538422.8012702882,1538422.8012702882,1538422.8551508982,1538422.9841621274,1538422.9851917927,1792736.514827395,1538423.1061459675,1829255.1579373349,2617881.8982026246,2156011.022702065,2288921.149406196,2390981.601032498,2361439.5611290345,1948449.174048044,1888100.7299519388,1712916.847032625,2202990.718009043,1985011.62172104,2040742.4516077363,2398062.3528309967,2630917.8724003057,2797023.8372248453,2383627.572136519,2974431.753335175,3478890.088445175,3824546.350645175,3882986.601119175,3907054.2660992746,4899232.607972176,7358184.550171202,7479217.380161707,5157622.419088774,5449582.917116267,5557461.1863301145,6299953.149276036,6941784.559849947,7002298.273584666,5999941.684174238,6284196.97293224,6905537.045874384,7280770.000069,7820450.000069,8091458.000069
1,999999.996617929,999999.996617929,3197016.1575076515,3824999.67687727,4974999.67687727,3641316.9550452367,4066932.3812843966,2343152.617550568,1500060.69038,1400060.69038,1400060.72189929,7529999.680098339,7277385.711515428,7491349.752892179,7191339.752892179,6949627.763333179,6749427.763333179,6749427.763333179,6749427.763333179,6149327.76333318,5249327.763333179,4149227.76333318,4148927.01003318,3798902.02175518,3268772.10175518,3118772.10275518,2688772.10375518,2588772.10375518,2328758.98542124,1838758.97542124,1538421.036078856,1538421.03608,1510065.5809018626,1510065.606185753,1510065.606185753,1510065.606185753,1510065.606185753,1510065.6417101412,1510065.6417101412,1538423.1061459675,1510065.6417101473,1672809.2998444077,2024412.474346736,1901707.5016126249,2152131.137171563,2152131.137171563,2356601.9261021954,1638377.2876626248,1792395.8314330757,1698628.8912497496,1767208.0261970698,1954741.2558503249,1985011.6235411183,2275738.9008199265,2136296.577046225,2267658.361765175,2342880.575775175,2539110.4332150333,3125760.4332150337,3125760.4332150337,3125760.4332150337,3242803.8835802223,3794268.9986292752,3649921.294479275,3749032.8966792743,3740844.067359275,4258981.499999275,2897784.4205265385,3321730.000069,3622242.000069,4076930.000069,5210594.000069,6006466.000069,6472962.000069,7032141.759830321,7287602.002472446,7250567.263473331
2,993564.3510799776,993564.3510799776,2774999.67687727,3763135.161721109,3087207.190365712,2575971.43138,2276021.53138,1750050.54038,1379746.9725480124,993564.3510799776,993564.3510799776,1210066.7798305152,3641694.2418985064,2812080.8079342027,1689472.1667786762,1378753.0830152817,1378753.0830152817,1500000.004137971,2500000.004137971,2900000.004137971,3000000.004137971,2500000.004137971,2400000.004137971,1538421.0136864171,1538421.0136864171,1538421.026232096,1538421.036078856,1538421.036078856,1538421.036078856,1538421.036078856,1510065.4652165335,1510065.46528,1507810.4162283652,1507810.416238365,1507810.416238365,1507810.416238365,1507810.428238365,1507810.428238365,1507810.428238365,1510065.6417101412,1507810.4383377358,1538423.1061459675,1378754.092501189,1378754.092501189,2130595.712622625,2129405.262792625,1378754.142501189,1556087.4704681414,1685519.975882625,1656543.1413980732,1728619.219794625,1880637.6822364668,1951419.4086262248,2047128.2678462248,2074850.9008199263,2201519.415571387,2330955.5741423788,2497142.70134366,2507761.140992172,2507761.141392172,2499996.754385663,3125760.4332150337,3125760.4332150337,2072818.8639334023,2235759.149819652,2733854.055106636,2432966.070395635,2890594.0000690003,2296896.420526539,2296896.42695126,2296896.43146263,2296896.43580272,2296896.43580272,2296896.43580272,2296896.43580272,2296896.43580272,2296896.43580272
3,935899.9472166408,935899.9472166408,1058090.4353588205,1136151.1951397236,999999.996617929,1000000.7974314288,1000000.7974314288,1000000.7974314288,1000000.7974314288,890445.682700116,890214.4846832715,993564.3510799776,1160066.7798305152,1500000.004137971,1378753.0830152817,1318015.043699534,1161458.9682007153,1378753.0830152817,1378753.0830152817,1378753.0854742816,1378753.0854742816,1575001.0,1538421.0136864171,1510065.4652165335,1510065.4652165335,1510065.4652165335,1510065.4652165335,1510065.4652165335,1510065.4652165335,1510065.4652165335,1507810.4162283652,1507810.4162283652,1500000.011353125,1500000.0113631254,1400000.0113631252,1378754.092500889,1378754.092501189,1378754.092501189,1378754.092501189,1507810.428238365,1489169.2086373947,1510065.6417101473,1163482.930636432,1275021.6296483097,1378754.092501189,1378754.142501189,1300000.782759706,1378754.142501189,1378754.142501189,1378754.142501189,1378754.142501189,1378754.142501189,1378754.144087379,1378754.144087379,1885860.4082150336,1885860.4232150333,1885860.4232150333,2309556.5843279883,2370341.0942405597,2407055.8255914007,2243369.003058331,2875482.8628804027,2473706.8628804027,1925760.4332150335,1925760.4340160333,1525759.4341160336,2170754.000069,1900010.7506048128,1700010.7506048132,1752688.777967024,1428865.4473212482,1868725.384707372,2033690.4590383468,2039046.4690383468,1949046.4690842936,1994773.4691842936,1854773.4691842936
4,933579.796132564,933579.796132564,999999.996617929,999999.996617929,993564.3510799776,993564.3510799776,993564.3510799776,993564.3510799776,993564.3510799776,804000.5691235022,810000.6691235022,890852.1415606163,1000000.004137971,1378753.0830152817,1161458.9682007153,1161458.9682007153,1100789.0451243138,1161460.563608465,1161460.563608465,1081460.5636084653,1081460.5636084653,1538421.0136864171,1510065.4652165335,1507810.3162283653,1507810.3162283653,1507810.3162283653,1507810.4162283652,1507810.4162283652,1507810.4162283652,1507810.4162283652,1500000.0013419709,1500000.0013431257,1378754.092490889,1378754.092500889,1378754.092500889,1036679.1133705656,1000000.0113631252,1000000.0113631252,1312967.7294473953,1390688.0243388938,1378754.092501189,1507810.4383377358,1103972.484559678,1200000.712759706,1200000.712759706,1300000.812759706,1266822.883622625,1300000.782759706,1300000.782759706,1300000.782759706,1300000.782779706,1230000.782779706,999999.0147032654,999999.0147032654,1378754.144087379,1378754.144087379,1378754.144087899,1378754.144087899,1378754.144087899,1378754.144087899,1378734.0662215217,1378734.0662215217,1378734.0662215217,1378734.0662215217,1378734.0663215215,1378734.0663215215,1525759.4341160336,1525759.4341938114,1525759.4341938114,1700010.7506048132,1378734.0663215215,1378734.0663215215,1378734.0663215215,1387683.7957965634,1747254.1935230345,1789371.7770971542,1522897.7526214614
5,889860.4946426596,889860.4946426596,993564.3510799776,993564.3510799776,889860.4946426596,960326.7050944855,989326.7950944856,967070.6925480125,889860.4946426596,560000.0,734882.0919237742,803416.0706508051,993564.3510799776,1160067.7798305152,993564.3510799776,993564.3510799776,993564.3510799776,1011190.7500412224,993564.3510799776,993564.3510799776,1071432.987062218,1501072.8416826471,1507810.3162283653,1400000.004137971,1400000.004137971,1500000.0013419709,1500000.0013419709,1500000.0013419709,1500000.0013419709,1500000.0013419709,1378754.092490889,1378754.092490889,1229323.556152095,981635.7326382676,979532.6993721656,1000000.0113631252,974657.416849732,985047.525135395,1213770.6841441514,1378754.092501189,1026463.2551022568,1378754.092501189,1039999.00001,1039999.00001,999999.0124631252,999999.0124631252,999999.0124631252,999999.0124631252,999999.0124631252,999999.0124631252,999999.0134831255,999999.0134831255,909735.265294489,905205.7682664953,999999.0147032654,999999.0147032654,999999.0147032654,999999.0247042654,999999.0247042654,999999.0247042654,1028112.5653449332,999999.0247042654,999998.0247042654,999998.0247042654,1062570.7041955113,1098829.8404038297,1378734.0663215215,1378734.0663215215,1378734.0663215215,1525759.4341938114,1359164.381837702,1271957.5044053458,1316512.046813322,1378734.0663215215,1378734.0663215215,1390000.0166220092,1390000.0166220092
6,660359.9240379615,660359.9240379615,935899.9472166408,933579.796132564,824355.796132564,889860.4946426596,889860.4946426596,889860.4946426596,560000.0,529999.99602191,664303.6411225259,560000.0,890835.4303528835,993564.3510799776,890053.0250653886,889876.1931371444,900000.0041379709,993564.3510799776,889020.4191558651,889226.5898410722,1070252.3646779482,1500472.7738808717,1378753.0854742816,1378753.0854742816,1378754.085474281,1378754.085474281,1378754.0924742816,1378754.0924742816,1378754.0924742816,1378754.092490889,1259770.727491345,1070715.966332095,982335.8945158762,844206.6012957987,865281.1668995634,976543.8174458051,923964.5074930121,967805.5576262109,1000000.0113631252,1000000.0113631252,1009999.00001,1009999.00001,1000000.0124631254,1000000.0124631254,949341.723966235,946507.6819817491,940936.887763602,937267.5321237457,933185.6688124276,930712.6470792108,921831.4512402083,913629.9102657743,850860.5382150336,850860.4382150337,901452.3878743452,898578.8732082393,894557.9830112994,885469.3308699618,879414.647388387,863144.7101232614,999999.0247042654,952260.7814191952,874529.7114846271,822597.5959325696,999998.0247042654,999998.0247042654,1036591.3270586324,1150532.345060211,1225476.3817466018,1378734.0663215215,1180010.7506048132,1134498.95358134,1189498.95358134,1040000.01021431,1040000.0166220092,1378734.0663215215,1378734.0663215215
7,659999.9726423204,659999.9726423204,933579.796132564,889860.4946426596,710321.6000944857,679995.9811650371,713823.5525480125,708332.080805786,529999.99602191,499999.999535872,564858.4652290102,529999.99602191,674441.0760431169,890053.5587438949,885468.5677424385,880257.3677424386,889396.6726910211,889402.0967296654,800952.8935850972,821163.8200569302,1068809.0357870304,1378753.0854742816,1275001.0,993564.3510799776,993564.3510799776,1082608.0686321238,993575.8209668366,994685.1258253674,995920.127404737,1010584.008721345,1188559.0505315696,1001159.0505315696,847913.3146068563,828736.2233786662,841508.2487925127,923964.4374927123,833673.3951775735,923964.5074930121,964272.9739649398,984999.00001,1000000.0114631256,1008233.6476897228,988884.2208243571,988884.2208243571,850860.5382150336,895999.00001,895999.00001,920000.2326455321,866999.8861113825,850860.5382150336,850860.5382150336,850860.5382150336,820999.00123114,801052.5959325696,801052.5959325696,801052.5959325696,801052.5959325696,801052.5959325696,801052.5959325696,801052.5959325696,830511.7804809939,839529.7114846271,864476.1641316687,714529.7114846271,819597.5959325696,865696.000069,805378.157763512,1062157.131746602,1037688.7537675358,1281489.381746602,1171455.6881844013,1040000.01021431,1091670.5663792233,989498.95358134,989498.95358134,929498.95358134,1120020.7604636808
8,608331.080805786,608331.080805786,889860.4946426596,660354.9240379614,679995.9811650371,660354.9240379614,608331.080805786,560000.0,499999.999535872,499999.99693858303,560000.0,502671.1902177617,560000.0,700731.1843822267,800405.1843822266,743230.01477393,835333.0018274087,820002.9,770001.9,820906.5931589912,993564.3510799776,1255000.0,1255000.0,886142.1630821431,911639.591492566,993564.3510799776,880411.2382982358,878202.8382013624,993651.9349959368,992987.9626879564,989916.7413395873,984623.0164445074,801159.0505315694,801159.0505415696,801159.0505415696,837463.517284261,803865.769665395,821804.9720012258,902499.00001,961397.8776045827,988884.4198243571,1000000.0114631256,959386.0733057751,959804.2001300018,834999.00001,850860.5382150336,850860.5382150336,896999.8861113825,850860.5382150336,820999.00001,820999.000011,820999.000011,801052.5959325696,795999.00123114,789534.6173289,789534.6186501,789534.6186501,789534.6186511002,789534.6186511002,789534.6187741,801052.5959325696,801052.5959325696,798597.5959325696,680634.5764131321,657334.1356969697,799529.7114846271,709529.7114846272,971530.7114846272,988530.7114846272,1094498.95358134,1129498.95358134,935941.3562566584,1040000.01021431,737000.0387767899,700010.7604636808,700010.7604636808,929498.95358134
9,560000.0,560000.0,660359.9240379615,659999.9726423204,660354.9240379614,619998.7025480124,562348.9223450372,529999.99602191,499999.99693858303,496147.90021264,529999.99602191,499999.99693858303,529999.99602191,636782.5414074949,742013.3783938675,742013.3783938675,700230.01477393,700230.01477393,672784.6120623287,815686.1773337752,955000.0,993564.3510799776,993564.3510799776,802672.2766084651,884199.4403981965,883478.8719743718,741021.5828197508,788311.155794737,876555.9404911472,874462.8233166643,866383.0572781248,853469.2615659744,710000.0,732786.8225602922,710000.0000100001,801159.0505415696,801159.0505415696,801159.0505415696,815101.3875351789,911391.8647773601,960714.7226790584,988884.2198243571,850860.5380938012,850860.5380938012,801052.5959325696,816999.8861113825,816999.8861113825,895999.00001,820999.00001,801999.8861113825,801052.5959325696,801052.5959325696,789534.6090821736,789534.6123271852,774999.792779706,774999.792779706,774999.792779706,774999.792779806,774999.792779806,774999.792779806,731529.7114846271,791794.0154087365,715962.2797746852,657334.1356869696,634529.7114846272,718097.5959325696,703498.95358134,888498.95358134,963498.95358134,1069531.711484627,1125759.4341938114,899652.757827016,994806.5427524392,700010.7604636808,657334.1356969697,560000.000065,809029.2034762817
