rank_,d2015_06_30,d2015_07_31,d2015_08_31,d2015_09_30,d2015_10_31,d2015_11_30,d2015_12_31,d2016_01_31,d2016_02_29,d2016_03_31,d2016_04_30,d2016_05_31,d2016_06_30,d2016_07_31,d2016_08_31,d2016_09_30,d2016_10_31,d2016_11_30,d2016_12_31,d2017_01_31,d2017_02_28,d2017_03_31,d2017_04_30,d2017_05_31,d2017_06_30,d2017_07_31,d2017_08_31,d2017_09_30,d2017_10_31,d2017_11_30,d2017_12_31,d2018_01_31,d2018_02_28,d2018_03_31,d2018_04_30,d2018_05_31,d2018_06_30,d2018_07_31,d2018_08_31,d2018_09_30,d2018_10_31,d2018_11_30,d2018_12_31,d2019_01_31,d2019_02_28,d2019_03_31,d2019_04_30,d2019_05_31,d2019_06_30,d2019_07_31,d2019_08_31,d2019_09_30,d2019_10_31,d2019_11_30,d2019_12_31,d2020_01_31,d2020_02_29,d2020_03_31,d2020_04_30,d2020_05_31,d2020_06_30,d2020_07_31,d2020_08_31,d2020_09_30,d2020_10_31,d2020_11_30,d2020_12_31,d2021_01_31,d2021_02_28,d2021_03_31,d2021_04_30,d2021_05_31,d2021_06_30,d2021_07_31,d2021_08_31,d2021_09_30,d2021_10_31
1,11901469.86985,11901469.86985,7750971.43138,6250971.4313800009,5800971.43138,5329999.67687727,5779999.67687727,7854999.67687727,9979999.67687727,11154999.67687727,11054999.68009834,11727778.7847168,7504999.680098339,10424999.70708953,7374999.70708953,7424999.70708953,7174999.7070895294,7374999.70708953,7274999.70708953,6524999.7070895294,6224999.70708953,5924999.7070895294,5174999.71708953,4574999.7170895291,4424999.71708953,3974999.8170895297,3074999.8445895296,2924999.84658953,2774999.8466895297,2624999.8607777879,2325000.2357777874,1925000.2404475657,1538422.7298630129,1538422.7311480429,1538422.8012702882,1538422.8012702882,1538422.8551508982,1538422.9841621274,1538422.9851917929,1792736.5148273951,1538423.1061459677,1829255.1579373349,2617881.8982026246,2156011.0227020648,2288921.1494061961,2390981.6010324978,2361439.5611290345,1948449.174048044,1888100.7299519388,1712916.847032625,2202990.718009043,1985011.6217210402,2040742.4516077365,2398062.3528309967,2630917.8724003057,2797023.8372248453,2383627.572136519,2974431.7533351751,3478890.088445175,3824546.3506451747,3882986.6011191746,3907054.2660992746,4899232.6079721758,7358184.5501712011,7479217.3801617073,5157622.4190887744,5449582.9171162667,5557461.1863301145,6299953.1492760358,6941784.5598499468,7002298.2735846657,5999941.6841742378,6284196.97293224,6905537.0458743842,7280770.000069,7820450.000069,8091458.000069
2,999999.99661792908,999999.99661792908,3197016.1575076515,3824999.67687727,4974999.67687727,3641316.9550452372,4066932.3812843966,2343152.6175505677,1500060.69038,1400060.69038,1400060.72189929,7529999.680098339,7277385.7115154285,7491349.7528921794,7191339.7528921794,6949627.7633331791,6749427.7633331791,6749427.7633331791,6749427.7633331791,6149327.76333318,5249327.7633331791,4149227.7633331795,4148927.0100331795,3798902.02175518,3268772.10175518,3118772.1027551796,2688772.10375518,2588772.1037551793,2328758.98542124,1838758.9754212396,1538421.0360788561,1538421.03608,1510065.5809018626,1510065.6061857529,1510065.6061857529,1510065.6061857529,1510065.6061857529,1510065.6417101412,1510065.6417101412,1538423.1061459677,1510065.6417101473,1672809.2998444077,2024412.4743467362,1901707.5016126251,2152131.1371715632,2152131.1371715632,2356601.9261021954,1638377.2876626248,1792395.8314330757,1698628.8912497496,1767208.0261970698,1954741.2558503251,1985011.6235411186,2275738.9008199265,2136296.5770462248,2267658.3617651751,2342880.5757751749,2539110.4332150333,3125760.4332150337,3125760.4332150337,3125760.4332150337,3242803.8835802223,3794268.9986292752,3649921.2944792751,3749032.8966792747,3740844.0673592752,4258981.4999992754,2897784.4205265385,3321730.000069,3622242.0000690003,4076930.000069,5210594.000069,6006466.000069,6472962.000069,7032141.7598303212,7287602.0024724472,7250567.263473331
3,993564.3510799777,993564.3510799777,2774999.67687727,3763135.1617211085,3087207.1903657117,2575971.43138,2276021.53138,1750050.54038,1379746.9725480124,993564.3510799777,993564.3510799777,1210066.7798305152,3641694.2418985069,2812080.8079342027,1689472.1667786762,1378753.0830152815,1378753.0830152815,1500000.004137971,2500000.004137971,2900000.004137971,3000000.004137971,2500000.004137971,2400000.004137971,1538421.0136864171,1538421.0136864171,1538421.0262320959,1538421.0360788561,1538421.0360788561,1538421.0360788561,1538421.0360788561,1510065.4652165337,1510065.46528,1507810.4162283652,1507810.416238365,1507810.416238365,1507810.416238365,1507810.4282383651,1507810.4282383651,1507810.4282383651,1510065.6417101412,1507810.4383377358,1538423.1061459677,1378754.0925011891,1378754.0925011891,2130595.7126226248,2129405.262792625,1378754.1425011889,1556087.4704681414,1685519.975882625,1656543.1413980732,1728619.219794625,1880637.6822364668,1951419.4086262248,2047128.2678462251,2074850.9008199265,2201519.4155713869,2330955.5741423788,2497142.7013436602,2507761.1409921721,2507761.1413921718,2499996.7543856632,3125760.4332150337,3125760.4332150337,2072818.8639334023,2235759.1498196516,2733854.0551066357,2432966.070395635,2890594.0000690003,2296896.420526539,2296896.42695126,2296896.43146263,2296896.4358027196,2296896.4358027196,2296896.4358027196,2296896.4358027196,2296896.4358027196,2296896.4358027196
4,935899.94721664093,935899.94721664093,1058090.4353588203,1136151.1951397236,999999.99661792908,1000000.7974314289,1000000.7974314289,1000000.7974314289,1000000.7974314289,890445.682700116,890214.4846832715,993564.3510799777,1160066.7798305152,1500000.004137971,1378753.0830152815,1318015.0436995341,1161458.9682007153,1378753.0830152815,1378753.0830152815,1378753.0854742816,1378753.0854742816,1575001.0,1538421.0136864171,1510065.4652165337,1510065.4652165337,1510065.4652165337,1510065.4652165337,1510065.4652165337,1510065.4652165337,1510065.4652165337,1507810.4162283652,1507810.4162283652,1500000.0113531253,1500000.0113631254,1400000.0113631252,1378754.092500889,1378754.0925011891,1378754.0925011891,1378754.0925011891,1507810.4282383651,1489169.2086373949,1510065.6417101473,1163482.930636432,1275021.6296483097,1378754.0925011891,1378754.1425011889,1300000.782759706,1378754.1425011889,1378754.1425011889,1378754.1425011889,1378754.1425011889,1378754.1425011889,1378754.1440873791,1378754.1440873791,1885860.4082150336,1885860.4232150335,1885860.4232150335,2309556.5843279883,2370341.0942405593,2407055.8255914007,2243369.0030583311,2875482.8628804027,2473706.8628804027,1925760.4332150337,1925760.4340160335,1525759.4341160336,2170754.000069,1900010.7506048132,1700010.7506048132,1752688.7779670239,1428865.4473212482,1868725.3847073719,2033690.4590383468,2039046.4690383468,1949046.4690842938,1994773.4691842939,1854773.4691842939
5,933579.796132564,933579.796132564,999999.99661792908,999999.99661792908,993564.3510799777,993564.3510799777,993564.3510799777,993564.3510799777,993564.3510799777,804000.56912350224,810000.66912350233,890852.14156061632,1000000.004137971,1378753.0830152815,1161458.9682007153,1161458.9682007153,1100789.0451243138,1161460.563608465,1161460.563608465,1081460.5636084653,1081460.5636084653,1538421.0136864171,1510065.4652165337,1507810.3162283651,1507810.3162283651,1507810.3162283651,1507810.4162283652,1507810.4162283652,1507810.4162283652,1507810.4162283652,1500000.0013419709,1500000.0013431255,1378754.0924908889,1378754.092500889,1378754.092500889,1036679.1133705656,1000000.0113631253,1000000.0113631253,1312967.7294473951,1390688.0243388938,1378754.0925011891,1507810.4383377358,1103972.484559678,1200000.712759706,1200000.712759706,1300000.8127597061,1266822.8836226249,1300000.782759706,1300000.782759706,1300000.782759706,1300000.7827797059,1230000.7827797059,999999.01470326539,999999.01470326539,1378754.1440873791,1378754.1440873791,1378754.144087899,1378754.144087899,1378754.144087899,1378754.144087899,1378734.0662215215,1378734.0662215215,1378734.0662215215,1378734.0662215215,1378734.0663215215,1378734.0663215215,1525759.4341160336,1525759.4341938114,1525759.4341938114,1700010.7506048132,1378734.0663215215,1378734.0663215215,1378734.0663215215,1387683.7957965634,1747254.1935230345,1789371.7770971542,1522897.7526214614
6,889860.49464265956,889860.49464265956,993564.3510799777,993564.3510799777,889860.49464265956,960326.70509448566,989326.79509448574,967070.69254801236,889860.49464265956,560000.0,734882.09192377422,803416.07065080514,993564.3510799777,1160067.7798305152,993564.3510799777,993564.3510799777,993564.3510799777,1011190.7500412225,993564.3510799777,993564.3510799777,1071432.9870622181,1501072.8416826471,1507810.3162283651,1400000.004137971,1400000.004137971,1500000.0013419709,1500000.0013419709,1500000.0013419709,1500000.0013419709,1500000.0013419709,1378754.0924908889,1378754.0924908889,1229323.5561520951,981635.73263826768,979532.69937216549,1000000.0113631253,974657.41684973193,985047.525135395,1213770.6841441514,1378754.0925011891,1026463.2551022567,1378754.0925011891,1039999.00001,1039999.00001,999999.01246312528,999999.01246312528,999999.01246312528,999999.01246312528,999999.01246312528,999999.01246312528,999999.01348312548,999999.01348312548,909735.265294489,905205.76826649543,999999.01470326539,999999.01470326539,999999.01470326539,999999.02470426529,999999.02470426529,999999.02470426529,1028112.5653449331,999999.02470426529,999998.02470426541,999998.02470426541,1062570.7041955113,1098829.8404038295,1378734.0663215215,1378734.0663215215,1378734.0663215215,1525759.4341938114,1359164.3818377021,1271957.5044053458,1316512.046813322,1378734.0663215215,1378734.0663215215,1390000.0166220092,1390000.0166220092
7,660359.92403796152,660359.92403796152,935899.94721664093,933579.796132564,824355.796132564,889860.49464265956,889860.49464265956,889860.49464265956,560000.0,529999.99602191,664303.64112252591,560000.0,890835.43035288353,993564.3510799777,890053.02506538876,889876.19313714455,900000.00413797086,993564.3510799777,889020.41915586509,889226.58984107221,1070252.3646779482,1500472.7738808717,1378753.0854742816,1378753.0854742816,1378754.0854742813,1378754.0854742813,1378754.0924742816,1378754.0924742816,1378754.0924742816,1378754.0924908889,1259770.727491345,1070715.966332095,982335.89451587608,844206.60129579878,865281.1668995634,976543.81744580518,923964.50749301224,967805.55762621085,1000000.0113631253,1000000.0113631253,1009999.00001,1009999.00001,1000000.0124631254,1000000.0124631254,949341.723966235,946507.68198174937,940936.88776360208,937267.53212374565,933185.66881242767,930712.64707921073,921831.45124020847,913629.91026577458,850860.53821503359,850860.43821503373,901452.3878743453,898578.87320823933,894557.9830112994,885469.33086996176,879414.64738838689,863144.71012326144,999999.02470426529,952260.78141919523,874529.7114846271,822597.59593256959,999998.02470426541,999998.02470426541,1036591.3270586325,1150532.3450602107,1225476.3817466018,1378734.0663215215,1180010.7506048132,1134498.9535813401,1189498.95358134,1040000.01021431,1040000.0166220091,1378734.0663215215,1378734.0663215215
8,659999.97264232044,659999.97264232044,933579.796132564,889860.49464265956,710321.60009448568,679995.98116503714,713823.55254801246,708332.080805786,529999.99602191,499999.99953587196,564858.46522901021,529999.99602191,674441.07604311686,890053.55874389492,885468.56774243864,880257.36774243857,889396.67269102111,889402.09672966553,800952.89358509716,821163.82005693018,1068809.0357870304,1378753.0854742816,1275001.0,993564.3510799777,993564.3510799777,1082608.0686321238,993575.82096683665,994685.1258253674,995920.127404737,1010584.008721345,1188559.0505315696,1001159.0505315696,847913.31460685644,828736.22337866621,841508.24879251258,923964.43749271228,833673.39517757366,923964.50749301224,964272.97396493983,984999.00001000008,1000000.0114631255,1008233.6476897229,988884.22082435736,988884.22082435736,850860.53821503359,895999.00001,895999.00001,920000.23264553223,866999.88611138263,850860.53821503359,850860.53821503359,850860.53821503359,820999.00123114,801052.59593256959,801052.59593256959,801052.59593256959,801052.59593256959,801052.59593256959,801052.59593256959,801052.59593256959,830511.78048099391,839529.7114846271,864476.16413166886,714529.7114846271,819597.59593256959,865696.000069,805378.157763512,1062157.131746602,1037688.7537675358,1281489.381746602,1171455.6881844013,1040000.01021431,1091670.5663792233,989498.95358133991,989498.95358133991,929498.95358134,1120020.7604636808
9,608331.080805786,608331.080805786,889860.49464265956,660354.92403796141,679995.98116503714,660354.92403796141,608331.080805786,560000.0,499999.99953587196,499999.99693858303,560000.0,502671.19021776173,560000.0,700731.18438222667,800405.18438222655,743230.01477393,835333.00182740868,820002.9,770001.9,820906.59315899119,993564.3510799777,1255000.0,1255000.0,886142.16308214306,911639.59149256616,993564.3510799777,880411.23829823593,878202.83820136241,993651.9349959367,992987.9626879564,989916.74133958737,984623.01644450729,801159.05053156952,801159.0505415696,801159.0505415696,837463.517284261,803865.769665395,821804.97200122569,902499.00001000008,961397.87760458293,988884.41982435738,1000000.0114631255,959386.07330577506,959804.20013000187,834999.00001,850860.53821503359,850860.53821503359,896999.88611138263,850860.53821503359,820999.00001000008,820999.000011,820999.000011,801052.59593256959,795999.00123114,789534.6173289,789534.6186501,789534.6186501,789534.61865110009,789534.61865110009,789534.6187741,801052.59593256959,801052.59593256959,798597.59593256959,680634.57641313213,657334.13569696969,799529.7114846271,709529.71148462722,971530.71148462722,988530.71148462722,1094498.95358134,1129498.95358134,935941.35625665856,1040000.01021431,737000.03877678991,700010.76046368084,700010.76046368084,929498.95358134
10,560000.0,560000.0,660359.92403796152,659999.97264232044,660354.92403796141,619998.70254801237,562348.92234503722,529999.99602191,499999.99693858303,496147.90021263994,529999.99602191,499999.99693858303,529999.99602191,636782.54140749492,742013.37839386752,742013.37839386752,700230.01477393,700230.01477393,672784.61206232873,815686.17733377521,955000.0,993564.3510799777,993564.3510799777,802672.27660846512,884199.44039819646,883478.87197437184,741021.58281975077,788311.155794737,876555.94049114722,874462.82331666432,866383.05727812485,853469.26156597445,710000.0,732786.82256029209,710000.00001000008,801159.0505415696,801159.0505415696,801159.0505415696,815101.38753517892,911391.86477736023,960714.72267905844,988884.21982435731,850860.53809380135,850860.53809380135,801052.59593256959,816999.88611138263,816999.88611138263,895999.00001,820999.00001000008,801999.88611138263,801052.59593256959,801052.59593256959,789534.60908217367,789534.61232718534,774999.792779706,774999.792779706,774999.792779706,774999.792779806,774999.792779806,774999.792779806,731529.7114846271,791794.01540873654,715962.27977468516,657334.13568696962,634529.71148462722,718097.59593256959,703498.95358134,888498.95358134,963498.95358134,1069531.7114846271,1125759.4341938114,899652.757827016,994806.54275243916,700010.76046368084,657334.13569696969,560000.000065,809029.20347628184
